lat,lon,univ_research_count_5000m
-33.0351828,-71.5952743,48
-32.9593609,-60.6617024,37
-32.9192953,151.7795348,2
-32.8950307,151.6978663,2
-32.0722729,-52.1667846,1
-32.0674157,115.8346086,1
-31.9746305,115.8175988,6
-31.967636,115.8152839,7
-31.9558967,115.8605784,5
-31.954122,115.8631823,4
-31.7812606,-52.3236949,11
-31.7699736,-52.3410161,12
-31.4166867,-64.1834193,17
-31.4152873,-64.18124,17
-30.7054363,-69.1988222,0
-30.0328501,-51.2179394,26
-30.0324999,-51.2303767,25
-29.9640311,-51.6247036,3
-29.9145439,-51.1802088,5
-29.8664426,30.9813099,11
-29.790166,-55.794862,3
-29.7134841,-53.7174139,4
-29.6860512,-53.8069214,8
-29.6650828,-51.1190168,1
-29.116395,26.215496,1
-28.3878734,-53.9201692,5
-28.2802499,-53.5168407,3
-28.1410583,-54.7564028,5
-27.6742718,152.9025759,1
-27.6034133,-48.5224425,13
-27.5466249,153.0642922,3
-27.497418,153.0131666,21
-27.4689623,153.0235009,21
-27.4572735,153.0362663,17
-27.00544,-51.1533733,2
-26.8990192,-49.0783311,13
-26.706891,27.836271,2
-26.6882966,27.0912407,3
-26.4897432,-49.0778063,7
-26.3044898,-48.8486726,9
-26.2295984,-52.6712474,3
-26.1853203,27.9971831,21
-26.1586155,27.9027089,1
-26.0915852,28.0020276,0
-25.7543354,28.2308578,15
-25.7459277,28.1879101,15
-25.5404911,28.0945182,1
-25.4470172,-54.5840534,9
-25.4433285,-49.3539189,4
-25.4295963,-49.2712724,31
-25.3422679,-57.5422671,43
-25.2848112,-57.6213959,48
-25.2830613,-57.5535487,10
-25.2665417,-57.4926928,10
-25.2303005,121.0187246,0
-25.0891685,-50.1601812,6
-24.7761086,134.755,0
-24.4842187,-51.8148872,0
-23.7263393,-46.5809273,8
-23.5652201,-46.712583,10
-23.561048,-46.7252264,12
-23.5602772,-46.7355996,13
-23.5575973,-46.7118744,12
-23.5506507,-46.6333824,68
