key,count2000
"31.5776626,120.2952752",0.0
"31.6387789,118.8969054",0.0
"31.7788472,35.2257856",4.0
"31.8122623,119.9691539",0.0
"31.8311441,117.2699347",0.0
"31.839072,117.2642075",0.0
"31.8665676,117.281428",0.0
"31.8891787,118.815607",0.0
"31.8952532,34.8105616",0.0
"31.9078499,34.8133409",0.0
"31.9183073,35.2066524",0.0
"31.9215518,120.2808847",0.0
"31.923249,34.796666",0.0
"31.9827896,120.8904588",0.0
"32.0,117.0",0.0
"32.0071898,118.7579999",0.0
"32.0438284,118.7788631",5.0
"32.0468815,34.8447686",0.0
"32.0471842,34.8452013",0.0
"32.0565957,118.7740883",7.0
"32.0652601,112.2541764",0.0
"32.071577,34.845347",0.0
"32.0750555,118.7740619",0.0
"32.0790074,-81.0921335",0.0
"32.0849766,34.7862664",0.0
"32.0886888,34.8671956",0.0
"32.1030022,118.9388674",0.0
"32.1123577,34.8050129",0.0
"32.1160213,118.9102083",0.0
"32.1238836,118.7083128",0.0
"32.1384178,118.8649314",0.0
"32.1773471,34.907459",0.0
"32.1893957,119.4199854",0.0
"32.2228765,-110.974847",0.0
"32.239034,-7.958131",0.0
"32.2528144,-110.9436227",0.0
"32.2685578,105.8395358",0.0
"32.2939401,50.8398898",0.0
"32.3222428,34.8597179",0.0
"32.344177,119.3946863",0.0
"32.3512601,-95.3010624",0.0
"32.3634509,-86.2935823",0.0
"32.4301095,-85.7067335",0.0
"32.4579729,119.9181174",0.0
"32.4580024,74.5060556",0.0
"32.493069,44.4357574",0.0
"32.5135356,-93.7477839",1.0
"32.5447132,44.4318143",0.0
"32.558366,44.0734936",0.0
"32.5919529,-85.4959775",0.0
"32.6100207,44.0039769",0.0
"32.6220743,51.6610219",24.0
"32.667721,51.3927934",0.0
"32.6707877,51.6650002",0.0
"32.6822707,-114.6355882",0.0
"32.7174202,-117.162772",1.0
"32.7315155,-97.1171533",1.0
"32.753177,-97.3327459",2.0
"32.7762719,-96.7968559",0.0
"32.7768128,35.0225446",0.0
"32.7899432,-96.7779235",0.0
"32.7902452,-79.9576415",0.0
"32.806062,34.9924236",0.0
"32.812043,-96.8417201",3.0
"32.8164178,130.7270397",0.0
"32.8202519,-96.8442624",3.0
"32.8332159,34.9857263",0.0
"32.833696,130.6990269",0.0
"32.8401623,-117.2740777",0.0
"32.8458529,-117.2575702",1.0
"32.8573973,59.2289938",8.0
"32.8670902,-117.2059976",0.0
"32.8792438,-117.2311247",12.0
"32.8794413,-117.2229161",0.0
"32.882037,-117.2239",0.0
"32.8861104,-117.244141",0.0
"32.9040884,-96.9570432",0.0
"32.9540333,35.4925033",0.0
"32.9581512,-117.1579863",0.0
"32.9875855,-96.749784",0.0
"32.990641,-117.1597106",0.0
"32.9919141,-117.2678124",0.0
"33.0000001,119.9999999",0.0
"33.0100224,35.1169063",0.0
"33.0136764,-96.6925096",0.0
"33.1545696,46.7576343",0.0
"33.1580933,-117.3505966",0.0
"33.2791984,44.3786165",0.0
"33.290714,130.542524",0.0
"33.3275214,130.5120966",14.0
"33.349559,120.1577019",0.0
"33.3842942,-111.7263525",0.0
"33.4021052,43.262751",0.0
"33.4054302,-111.9878237",0.0
"33.4213174,-111.9331631",0.0
"33.4520517,-112.0636789",0.0
"33.4530732,-112.0670237",0.0
"33.4683919,-82.0799502",2.0
"33.4694103,-81.9884196",6.0
"33.4789195,-112.0410726",0.0
"33.4942189,-111.926018",0.0
"33.5016153,-86.8060476",1.0
"33.5206824,-86.8024326",0.0
"33.5786907,-117.729202",0.0
"33.583939,130.3797313",0.0
"33.5855677,-101.8470215",0.0
"33.5893559,130.4026035",0.0
"33.5978157,119.0196971",0.0
"33.6082953,130.416985",0.0
"33.6170092,-117.9294401",0.0
"33.6251241,130.6180016",0.0
"33.6491782,-117.8391158",4.0
"33.6497568,73.1549222",0.0
"33.6578789,-111.9547698",0.0
"33.6856969,-117.825981",0.0
"33.6922898,130.4333418",0.0
"33.738743,-84.3589885",0.0
"33.7419956,113.3002154",1.0
"33.7544657,-84.3898151",6.0
"33.7583005,-116.4347271",0.0
"33.7690164,-118.191604",0.0
"33.7760948,-84.3988077",0.0
"33.7809052,-117.8660899",0.0
"33.7908821,132.8718965",0.0
"33.7936353,-84.3221796",7.0
"33.8004547,-84.3172378",0.0
"33.8015148,132.8790693",0.0
"33.8054837,-118.1885416",0.0
"33.829443,-118.2947553",0.0
"33.8395188,132.7653521",0.0
"33.8833423,-84.0413036",0.0
"33.8892265,35.5025585",0.0
"33.8899823,35.5085979",0.0
"33.9154236,-84.3545845",0.0
"33.9196418,134.2509634",0.0
"33.9404278,-83.3730682",0.0
"33.9463476,-118.3430746",0.0
"33.9490472,75.0418335",0.0
"33.9518498,131.2472243",0.0
"33.9642576,-117.3398097",0.0
